genes,model_results_hr,model_results_hr_lci,model_results_hr_uci
3653,DHX34,2.897815e+00,1.208972e+00,6.945843e+00
9019,PA2G4P4,2.901767e+00,1.337499e+00,6.295523e+00
9601,PLCB1,2.902455e+00,1.285686e+00,6.552335e+00
6984,LGALS7B,2.909147e+00,1.298388e+00,6.518186e+00
9978,PRDXDD1P,2.912210e+00,1.167130e+00,7.266516e+00
10305,QPCTL,2.913333e+00,1.342172e+00,6.323710e+00
10971,RPS19,2.921079e+00,1.328148e+00,6.424509e+00
12551,TAF15,2.933132e+00,1.363194e+00,6.311108e+00
1573,C17orf86,2.941298e+00,1.394866e+00,6.202197e+00
7046,LMAN1,2.945675e+00,1.378868e+00,6.292844e+00
7808,MGC2752,2.947872e+00,1.288034e+00,6.746679e+00
4884,FLJ42627,2.949221e+00,1.284421e+00,6.771850e+00
4266,ERCC1,2.954076e+00,1.317330e+00,6.624433e+00
12270,SRRM5,2.962251e+00,1.228949e+00,7.140193e+00
2701,CFL1,2.970161e+00,1.233164e+00,7.153836e+00
12983,TMEM143,2.974738e+00,1.393997e+00,6.347981e+00
12876,TKT,2.975045e+00,1.338709e+00,6.611514e+00
2771,CHORDC1,2.976504e+00,1.243609e+00,7.124082e+00
13345,TRIB3,2.982845e+00,1.336340e+00,6.658008e+00
8985,OTUD6B,2.984259e+00,1.227727e+00,7.253894e+00
10632,REXO4,2.986419e+00,1.405783e+00,6.344290e+00
2321,CCDC61,2.986649e+00,1.317154e+00,6.772235e+00
4126,EIF6,2.996438e+00,1.344763e+00,6.676745e+00
6861,KRT6C,3.000349e+00,1.409717e+00,6.385749e+00
6633,KIAA0895,3.004586e+00,1.350458e+00,6.684793e+00
4985,FRMD8,3.011068e+00,1.385010e+00,6.546185e+00
5764,HGD,3.016502e+00,1.283095e+00,7.091667e+00
12408,STRN4,3.018561e+00,1.433426e+00,6.356593e+00
5875,HMGB2,3.020644e+00,1.341299e+00,6.802577e+00
11120,SAC3D1,3.022628e+00,1.435058e+00,6.366488e+00
14851,ZNF8,3.022661e+00,1.373354e+00,6.652679e+00
4084,EIF2B4,3.026741e+00,1.407486e+00,6.508885e+00
5364,GOLGA2,3.027909e+00,1.398046e+00,6.557893e+00
4629,FAM84B,3.031404e+00,1.370178e+00,6.706724e+00
3757,DNAJC10,3.033123e+00,1.217293e+00,7.557620e+00
12849,TIMM10,3.036974e+00,1.306426e+00,7.059880e+00
3300,CTU1,3.044560e+00,1.427770e+00,6.492186e+00
7410,LYPD3,3.048772e+00,1.282442e+00,7.247900e+00
12903,TM4SF1,3.050283e+00,1.377090e+00,6.756443e+00
578,ANXA10,3.053170e+00,1.277254e+00,7.298348e+00
2669,CEP152,3.063318e+00,1.401020e+00,6.697917e+00
1219,BLOC1S3,3.065709e+00,1.331721e+00,7.057463e+00
13108,TMEM64,3.067024e+00,1.253533e+00,7.504103e+00
5825,HIST2H2AC,3.067247e+00,1.256443e+00,7.487807e+00
438,ALKBH6,3.082420e+00,1.391248e+00,6.829344e+00
5819,HIST1H4C,3.102681e+00,1.451430e+00,6.632515e+00
11906,SLMO1,3.104720e+00,1.382255e+00,6.973592e+00
4094,EIF3B,3.111858e+00,1.390156e+00,6.965881e+00
2307,CCDC43,3.113692e+00,1.218869e+00,7.954155e+00
13130,TMEM93,3.126258e+00,1.334369e+00,7.324428e+00
14259,ZC3H15,3.127372e+00,1.290526e+00,7.578663e+00
248,ADH6,3.145652e+00,1.272239e+00,7.777723e+00
3198,CRYZ,3.157866e+00,1.398305e+00,7.131577e+00
1615,C19orf48,3.164751e+00,1.487287e+00,6.734176e+00
2720,CHAF1B,3.165988e+00,1.263673e+00,7.932020e+00
343,AHSA1,3.166773e+00,1.392317e+00,7.202710e+00
11136,SAMD4B,3.185994e+00,1.326523e+00,7.652002e+00
13307,TRAF2,3.186198e+00,1.191667e+00,8.519037e+00
9842,PPAT,3.190191e+00,1.411441e+00,7.210586e+00
8952,OSBPL10,3.192201e+00,1.373789e+00,7.417545e+00
8601,NKIRAS2,3.193667e+00,1.238417e+00,8.235922e+00
8268,MYPOP,3.204554e+00,1.339139e+00,7.668484e+00
6445,JMJD6,3.214250e+00,1.209536e+00,8.541623e+00
143,ACP1,3.218532e+00,1.424256e+00,7.273234e+00
9156,PCDHA11,3.230069e+00,1.414170e+00,7.377716e+00
13899,VGF,3.234354e+00,1.313989e+00,7.961289e+00
14788,ZNF75A,3.247278e+00,1.364702e+00,7.726824e+00
11380,SERHL,3.253750e+00,1.460359e+00,7.249515e+00
5077,GAD1,3.255792e+00,1.443965e+00,7.341023e+00
13391,TRIM7,3.256070e+00,1.442977e+00,7.347307e+00
11617,SIX5,3.262926e+00,1.543479e+00,6.897852e+00
11083,RUVBL2,3.281968e+00,1.463987e+00,7.357520e+00
8119,MTA2,3.291940e+00,1.542228e+00,7.026762e+00
9711,PMS2,3.296355e+00,1.466010e+00,7.411925e+00
1089,BANF1,3.297924e+00,1.319183e+00,8.244730e+00
9047,PAICS,3.313428e+00,1.453765e+00,7.551981e+00
11132,SAMD13,3.317014e+00,1.446159e+00,7.608141e+00
5387,GOSR1,3.321155e+00,1.354087e+00,8.145766e+00
10267,PURB,3.358375e+00,1.558465e+00,7.237048e+00
10609,RELA,3.360035e+00,1.368828e+00,8.247811e+00
12118,SOX9,3.397114e+00,1.468491e+00,7.858669e+00
4488,FAM155B,3.409077e+00,1.532513e+00,7.583494e+00
10962,RPS11,3.419049e+00,1.499704e+00,7.794802e+00
10956,RPPH1,3.453812e+00,1.511638e+00,7.891319e+00
7083,LOC100130581,3.456245e+00,1.536477e+00,7.774685e+00
11893,SLCO5A1,3.490577e+00,1.572671e+00,7.747412e+00
4813,FGFBP3,3.494544e+00,1.571208e+00,7.772258e+00
6844,KRR1,3.498220e+00,1.592291e+00,7.685495e+00
9447,PHLDB3,3.499804e+00,1.479707e+00,8.277740e+00
4307,ESR1,3.505139e+00,1.544161e+00,7.956424e+00
12293,SSRP1,3.515111e+00,1.668352e+00,7.406114e+00
3929,DVL2,3.545329e+00,1.603740e+00,7.837527e+00
9155,PCDHA10,3.547170e+00,1.551604e+00,8.109298e+00
14813,ZNF787,3.594075e+00,1.629874e+00,7.925384e+00
1580,C17orf97,3.606564e+00,1.674540e+00,7.767688e+00
13444,TSEN34,3.606825e+00,1.564464e+00,8.315428e+00
894,ATF6B,3.617443e+00,1.652882e+00,7.917019e+00
6798,KLHL31,3.659992e+00,1.626671e+00,8.234944e+00
7850,MIPOL1,3.673195e+00,1.655395e+00,8.150541e+00
14462,ZNF235,3.712669e+00,1.558016e+00,8.847092e+00
10139,PSMC3IP,3.721896e+00,1.411906e+00,9.811211e+00
8940,ORC2L,3.744597e+00,1.663125e+00,8.431120e+00
10175,PTBP1,3.776730e+00,1.461749e+00,9.757960e+00
12946,TMEM104,3.839302e+00,1.560367e+00,9.446651e+00
535,ANKRD34A,3.858780e+00,1.815729e+00,8.200664e+00
10032,PRMT1,3.865037e+00,1.746810e+00,8.551880e+00
17,AARSD1,3.866058e+00,1.566152e+00,9.543398e+00
6878,L3MBTL3,3.875349e+00,1.722107e+00,8.720906e+00
146,ACP6,3.958577e+00,1.845663e+00,8.490357e+00
12421,STX1A,4.019598e+00,1.783186e+00,9.060845e+00
14638,ZNF526,4.024453e+00,1.769680e+00,9.152065e+00
7008,LIG1,4.078644e+00,1.822746e+00,9.126524e+00
14051,WDR74,4.121645e+00,1.802212e+00,9.426168e+00
9581,PLA2G4A,4.147230e+00,1.674796e+00,1.026962e+01
7963,MPHOSPH10,4.172666e+00,1.564127e+00,1.113154e+01
1053,B3GNTL1,4.227384e+00,1.712508e+00,1.043544e+01
7947,MORF4L2,4.229141e+00,1.619112e+00,1.104656e+01
4071,EIF1AD,4.250964e+00,1.633258e+00,1.106420e+01
7524,MAP3K10,4.440417e+00,1.858232e+00,1.061079e+01
5969,HPX,4.478624e+00,1.955088e+00,1.025942e+01
8345,NAT9,4.666727e+00,1.637675e+00,1.329833e+01
5544,GRWD1,4.895120e+00,2.182070e+00,1.098141e+01
6101,IER3,4.928769e+00,2.173341e+00,1.117761e+01
3690,DKK1,5.224012e+00,2.287733e+00,1.192897e+01
