genes,model_results_hr,model_results_hr_lci,model_results_hr_uci
1622,C19orf56,2.457123e-01,7.241373e-02,8.337442e-01
5693,HCK,2.457812e-01,7.271080e-02,8.308036e-01
11012,RRAD,2.460184e-01,7.293420e-02,8.298585e-01
1320,BTN2A2,2.461293e-01,7.171777e-02,8.446952e-01
8082,MS4A6A,2.471553e-01,7.304830e-02,8.362377e-01
3138,CPVL,2.473871e-01,7.274491e-02,8.413010e-01
11678,SLC1A3,2.478209e-01,7.410969e-02,8.287069e-01
6390,ITGB2,2.480211e-01,7.365570e-02,8.351625e-01
5304,GLUL,2.482493e-01,7.266206e-02,8.481418e-01
5401,GPBAR1,2.501312e-01,7.364548e-02,8.495513e-01
7060,LMO2,2.502226e-01,7.034889e-02,8.900120e-01
9882,PPM1M,2.502842e-01,7.487609e-02,8.366113e-01
12892,TLR4,2.503273e-01,7.062235e-02,8.873075e-01
2413,CCR7,2.506879e-01,7.176461e-02,8.757022e-01
8969,OSMR,2.507182e-01,7.444316e-02,8.443974e-01
4055,EGR3,2.507260e-01,7.329354e-02,8.576950e-01
6401,ITIH5,2.510092e-01,7.581467e-02,8.310479e-01
2746,CHI3L1,2.510678e-01,7.801672e-02,8.079683e-01
7923,MNDA,2.511455e-01,7.406196e-02,8.516392e-01
7993,MRGPRF,2.511541e-01,7.440098e-02,8.478165e-01
9738,PODNL1,2.511720e-01,7.409100e-02,8.514850e-01
12475,SUSD2,2.514756e-01,7.159766e-02,8.832689e-01
4054,EGR2,2.515169e-01,8.064405e-02,7.844440e-01
1045,B3GNT2,2.515563e-01,7.564240e-02,8.365751e-01
10475,RASA3,2.517378e-01,7.539991e-02,8.404774e-01
9892,PPP1R12B,2.521216e-01,7.471035e-02,8.508234e-01
9516,PILRA,2.521247e-01,7.266237e-02,8.748250e-01
753,ARHGEF6,2.526373e-01,7.212410e-02,8.849414e-01
6945,LDB1,2.527696e-01,7.380107e-02,8.657392e-01
6584,KIAA0040,2.528333e-01,7.527879e-02,8.491725e-01
2362,CCL14,2.529241e-01,7.560227e-02,8.461464e-01
3350,CXorf21,2.529885e-01,7.435643e-02,8.607617e-01
5345,GNG2,2.533561e-01,7.448192e-02,8.618110e-01
11196,SCARF1,2.534034e-01,7.521231e-02,8.537600e-01
8709,NPR2,2.538799e-01,7.553601e-02,8.533015e-01
7979,MPV17L,2.539579e-01,7.463046e-02,8.641861e-01
10425,RAI2,2.540537e-01,7.807165e-02,8.267184e-01
2440,CD1E,2.543577e-01,7.070116e-02,9.150888e-01
3432,DAB2,2.548361e-01,7.704312e-02,8.429232e-01
5456,GPR34,2.552922e-01,7.574955e-02,8.603895e-01
11838,SLC46A3,2.554729e-01,7.504336e-02,8.697161e-01
9935,PPP3CB,2.556520e-01,7.611247e-02,8.587023e-01
2863,CLEC10A,2.557165e-01,7.469785e-02,8.754057e-01
10708,RHOJ,2.565878e-01,7.673122e-02,8.580246e-01
10605,REEP5,2.566813e-01,7.401847e-02,8.901194e-01
6943,LCP1,2.580723e-01,7.417898e-02,8.978463e-01
6438,JAZF1,2.581506e-01,7.923280e-02,8.410877e-01
5231,GIMAP5,2.588944e-01,7.577732e-02,8.845168e-01
2966,CNRIP1,2.589771e-01,7.569868e-02,8.860015e-01
13540,TTL,2.593680e-01,7.514353e-02,8.952437e-01
3501,DCTN4,2.595134e-01,7.571102e-02,8.895295e-01
12512,SYNPO,2.599995e-01,8.116176e-02,8.329012e-01
9007,P2RY13,2.602186e-01,7.551716e-02,8.966668e-01
4134,ELF5,2.605008e-01,7.560790e-02,8.975343e-01
13134,TMEM9B,2.607014e-01,7.839486e-02,8.669601e-01
4870,FLI1,2.610469e-01,7.512610e-02,9.070813e-01
7341,LRRC8C,2.611132e-01,7.531983e-02,9.052078e-01
3118,CPNE2,2.614521e-01,7.906373e-02,8.645836e-01
9006,P2RY12,2.621378e-01,7.878964e-02,8.721483e-01
9823,POU2F3,2.636669e-01,7.929755e-02,8.767007e-01
12449,SULT1A1,2.651691e-01,7.410476e-02,9.488547e-01
10184,PTEN,2.657851e-01,7.946905e-02,8.889210e-01
2446,CD22,2.665322e-01,7.625180e-02,9.316423e-01
6333,IRAK4,2.666821e-01,8.096475e-02,8.783992e-01
602,AP1S2,2.673731e-01,7.715185e-02,9.265934e-01
1642,C1QTNF1,2.693314e-01,7.848698e-02,9.242221e-01
3492,DCN,2.696250e-01,7.991362e-02,9.097029e-01
3325,CX3CR1,2.704291e-01,8.005625e-02,9.135066e-01
10250,PTPRO,2.706686e-01,8.098875e-02,9.045885e-01
6142,IGDCC4,2.709843e-01,7.742504e-02,9.484332e-01
5565,GSTM5,2.716836e-01,7.409925e-02,9.961229e-01
12453,SULT1C4,2.717143e-01,7.785870e-02,9.482393e-01
9445,PHLDB1,2.727076e-01,8.173205e-02,9.099177e-01
7443,MADD,2.732309e-01,8.094418e-02,9.223042e-01
4453,FAM120B,2.744474e-01,8.314509e-02,9.059026e-01
11821,SLC40A1,2.750603e-01,8.268074e-02,9.150642e-01
11582,SIGLEC5,2.753304e-01,8.229789e-02,9.211272e-01
9621,PLD4,2.765751e-01,8.174075e-02,9.358098e-01
6478,KAZ,2.790629e-01,8.126488e-02,9.582996e-01
12410,STS,2.803354e-01,8.266090e-02,9.507268e-01
13285,TPP1,2.807299e-01,8.204574e-02,9.605533e-01
3028,COL6A6,2.820759e-01,9.675265e-02,8.223733e-01
11391,SERPINB1,2.821179e-01,8.161725e-02,9.751680e-01
14819,ZNF799,2.836016e-01,8.140913e-02,9.879708e-01
