Patient,Expression
TCGA-97-8175,3310.96
TCGA-NJ-A55A,3315.85
TCGA-MP-A4TF,3317.29
TCGA-55-8087,3321.82
TCGA-86-8278,3321.97
TCGA-05-4434,3323.54
TCGA-44-7660,3327.94
TCGA-44-A479,3328.6
TCGA-78-7542,3335.42
TCGA-05-4418,3340.92
TCGA-44-7661,3346.35
TCGA-J2-8194,3357.17
TCGA-97-8172,3360.68
TCGA-J2-A4AD,3361.35
TCGA-55-6975,3371.33
TCGA-91-6847,3375.26
TCGA-49-AARR,3377.98
TCGA-50-7109,3387.8
TCGA-50-5072,3390.3
TCGA-55-7995,3390.9
TCGA-55-7913,3391.92
TCGA-55-8090,3395.48
TCGA-55-8299,3399.61
TCGA-73-4675,3401.18
TCGA-55-8621,3412.88
TCGA-49-AAR9,3421.29
TCGA-38-6178,3423.56
TCGA-05-4389,3430.54
TCGA-69-7761,3430.65
TCGA-97-A4M2,3431.17
TCGA-78-7160,3435.33
TCGA-44-3396,3439.7
TCGA-86-8055,3443.21
TCGA-50-6591,3446.83
TCGA-67-3770,3451.13
TCGA-99-8025,3456.51
TCGA-44-A4SS,3457.09
TCGA-49-4512,3476.56
TCGA-49-4507,3477.69
TCGA-55-8507,3477.81
TCGA-05-5425,3481.9
TCGA-91-6828,3492.42
TCGA-50-5049,3493.86
TCGA-49-6745,3499.26
,
TCGA-78-7153,3511.22
TCGA-55-6978,3520.41
TCGA-50-5941,3521.15
TCGA-83-5908,3522.72
TCGA-97-A4M1,3535
TCGA-93-8067,3543.4
TCGA-55-7227,3550.1
TCGA-44-7670,3550.82
TCGA-99-8032,3555.69
TCGA-44-6778,3557.11
TCGA-55-7576,3561.95
TCGA-44-A4SU,3571.31
TCGA-MP-A4T9,3573.08
TCGA-55-7727,3582.57
TCGA-38-4626,3588.94
TCGA-67-3772,3591.29
TCGA-91-8497,3599.54
TCGA-62-A472,3607.14
TCGA-86-8671,3613.17
TCGA-95-7947,3624.03
TCGA-73-7499,3650.49
TCGA-55-8302,3650.56
TCGA-97-8174,3654.23
TCGA-64-5779,3673.49
TCGA-55-8505,3675.31
TCGA-55-6981,3678.07
TCGA-05-4432,3679.26
TCGA-86-A456,3685.94
TCGA-35-3615,3695.91
TCGA-05-4424,3700.67
TCGA-49-4490,3704.95
TCGA-93-A4JQ,3713.6
TCGA-MP-A4SY,3717.12
TCGA-44-6776,3723.42
TCGA-44-A47B,3727.72
TCGA-86-8585,3733.03
TCGA-L9-A50W,3734.19
TCGA-MP-A4SV,3735.78
TCGA-49-4510,3738.19
TCGA-78-7162,3739.11
TCGA-78-7145,3751.64
TCGA-55-6982,3758.47
TCGA-91-A4BD,3765.33
TCGA-97-A4M0,3769.16
TCGA-62-A471,3772.89
TCGA-97-A4M5,3782.24
TCGA-MP-A4TJ,3786.03
TCGA-86-8074,3788.06
TCGA-78-7158,3790.87
TCGA-05-4426,3794
TCGA-44-3919,3795.77
TCGA-MP-A4T7,3795.79
TCGA-86-8668,3796.88
TCGA-95-8494,3798.6
TCGA-44-6774,3809.48
TCGA-93-7348,3811.45
TCGA-50-6673,3819.97
TCGA-50-6595,3823.79
TCGA-44-7671,3838.99
TCGA-86-8075,3841.45
TCGA-78-8655,3847.37
TCGA-53-7626,3853.8
TCGA-95-7562,3856.37
TCGA-78-8660,3870.29
TCGA-50-5055,3870.43
TCGA-50-6594,3872.54
TCGA-44-6775,3874.31
TCGA-67-3773,3881.81
TCGA-50-5942,3882.53
TCGA-44-2657,3894.63
TCGA-62-A46R,3899.69
TCGA-86-6851,3907.72
TCGA-55-A492,3907.87
TCGA-J2-A4AG,3908.26
TCGA-44-7667,3908.36
TCGA-55-8208,3911.81
TCGA-50-8457,3913
TCGA-55-6983,3916.31
TCGA-91-6849,3921.02
TCGA-69-8254,3927.41
TCGA-S2-AA1A,3927.9
TCGA-97-8176,3928.05
TCGA-97-8547,3928.96
TCGA-93-A4JO,3934.1
TCGA-93-7347,3939.01
TCGA-53-7813,3941.42
TCGA-55-8204,3944.74
TCGA-4B-A93V,3950.32
TCGA-44-6779,3950.59
TCGA-86-A4P7,3950.66
TCGA-38-4627,3953.3
TCGA-78-7159,3957.02
TCGA-55-6972,3962.33
TCGA-97-7547,3970.68
TCGA-05-5715,3985.16
TCGA-55-8619,3998.84
TCGA-86-7701,4000
TCGA-78-7539,4000.59
TCGA-55-8614,4007.54
TCGA-67-4679,4022.95
TCGA-49-4514,4028.29
TCGA-55-A4DG,4032.7
TCGA-05-4415,4032.89
TCGA-MP-A4SW,4035.06
TCGA-49-4506,4036.61
TCGA-53-A4EZ,4038.16
TCGA-05-4402,4038.36
TCGA-55-6969,4039.7
TCGA-55-8207,4048.67
TCGA-99-7458,4048.99
TCGA-78-7161,4054.2
TCGA-55-8092,4068.26
TCGA-55-7725,4069.33
TCGA-50-5939,4071.15
TCGA-55-7911,4080.35
TCGA-78-7167,4085.29
TCGA-05-4396,4096.29
TCGA-55-7281,4098.01
TCGA-35-4123,4102.59
TCGA-MP-A4TD,4105.47
TCGA-71-8520,4106.81
TCGA-97-A4LX,4108.32
TCGA-MP-A4T8,4113.81
TCGA-MP-A4TK,4113.92
TCGA-64-5815,4115.48
TCGA-69-7760,4118.05
TCGA-44-2665,4120.97
TCGA-64-1681,4127.95
TCGA-62-A46O,4132.11
TCGA-MP-A4T6,4144.92
TCGA-38-4629,4152.36
TCGA-55-8510,4153.61
TCGA-62-A46S,4162.03
TCGA-44-4112,4178.31
TCGA-55-7283,4182.96
TCGA-67-6217,4184.66
TCGA-55-6984,4193.78
TCGA-50-5931,4197.6
TCGA-44-8117,4203.79
TCGA-69-A59K,4208.49
TCGA-55-A57B,4222.5
TCGA-44-6145,4224.89
TCGA-05-4417,4227.17
TCGA-97-7938,4235.05
TCGA-86-8280,4244.64
TCGA-95-A4VP,4255.27
TCGA-69-7764,4256.63
TCGA-L9-A444,4268.79
TCGA-62-8397,4272.99
TCGA-55-8203,4275.4
TCGA-64-1676,4281.21
TCGA-73-7498,4303.08
TCGA-MP-A4TH,4304.43
TCGA-55-8085,4329.16
TCGA-55-6970,4345
TCGA-55-8511,4345.32
TCGA-O1-A52J,4354.55
TCGA-L9-A5IP,4356.7
TCGA-62-8399,4364.6
TCGA-55-6968,4366.34
TCGA-NJ-A55O,4382.15
TCGA-67-3774,4388.31
TCGA-55-A491,4389.62
TCGA-50-6593,4397.05
TCGA-50-5051,4397.37
TCGA-44-2662,4401.11
TCGA-49-AARN,4411.94
TCGA-99-8028,4416.43
TCGA-91-8496,4418.78
TCGA-78-7149,4429
TCGA-78-7150,4438.9
TCGA-L4-A4E5,4443.69
TCGA-55-6971,4461.76
TCGA-97-7937,4463.64
TCGA-55-7914,4464.27
TCGA-55-8096,4466.31
TCGA-44-2656,4481.78
TCGA-55-6985,4487.31
TCGA-50-8460,4489.47
TCGA-93-A4JN,4501.25
TCGA-MN-A4N4,4501.97
TCGA-MP-A4T4,4509.42
TCGA-97-A4M7,4528.58
TCGA-97-A4M3,4539.2
TCGA-44-6147,4539.89
TCGA-55-A48Y,4544.64
TCGA-78-8648,4565.32
TCGA-55-A48Z,4611.73
TCGA-44-A47G,4623.13
TCGA-55-A493,4625.62
TCGA-MP-A4TE,4630.84
TCGA-49-4501,4647.82
TCGA-50-5045,4648.48
TCGA-55-6980,4650.75
TCGA-91-6835,4656.43
TCGA-55-6642,4659.24
TCGA-86-7954,4662.08
TCGA-86-8076,4664.59
TCGA-55-7903,4677.13
TCGA-49-4494,4686.31
TCGA-50-6590,4713.59
TCGA-86-A4JF,4727.02
TCGA-49-6742,4772.56
TCGA-L9-A743,4779.51
TCGA-44-6777,4784.32
TCGA-55-8615,4794.65
TCGA-55-8091,4801.28
TCGA-50-8459,4810.01
TCGA-MP-A4TC,4813.47
TCGA-69-7763,4835.23
TCGA-55-7726,4837.62
TCGA-97-A4M6,4843.86
TCGA-55-7573,4854.28
TCGA-05-4249,4865.73
TCGA-49-6767,4880.47
TCGA-44-7662,4880.5
TCGA-99-8033,4892.19
TCGA-55-A48X,4895.89
TCGA-NJ-A4YG,4901.27
TCGA-55-8514,4935.48
TCGA-97-7546,4942.59
TCGA-55-7574,4950.98
TCGA-44-2655,4971.13
TCGA-86-8279,4987.26
TCGA-69-7979,4991.3
TCGA-NJ-A4YI,4996.98
TCGA-69-7980,5012.94
TCGA-71-6725,5018.31
TCGA-86-8674,5024.73
TCGA-49-AAQV,5040.81
TCGA-67-6215,5048.58
TCGA-69-7978,5071.28
TCGA-97-8179,5095.85
TCGA-95-7039,5097.14
TCGA-69-8253,5120.23
TCGA-49-4505,5147.91
TCGA-64-5781,5151.77
TCGA-50-5044,5153.53
TCGA-49-4487,5165.12
TCGA-44-7672,5167.9
TCGA-55-8616,5169.64
TCGA-95-8039,5187.28
TCGA-95-A4VN,5188.98
TCGA-49-4486,5197.15
TCGA-MN-A4N1,5227.8
TCGA-78-7633,5249.72
TCGA-78-7152,5249.77
TCGA-86-8673,5257.49
TCGA-64-1679,5259.14
TCGA-38-7271,5261.96
TCGA-L9-A443,5269.13
TCGA-78-7537,5285.31
TCGA-44-3918,5297.48
TCGA-44-2659,5315.79
TCGA-MP-A5C7,5317.98
TCGA-62-A46V,5346.4
TCGA-NJ-A55R,5410.94
TCGA-44-7659,5415.55
TCGA-49-AAR4,5434.43
TCGA-91-A4BC,5438.64
TCGA-95-7944,5447.29
TCGA-38-4632,5501.05
TCGA-44-A47A,5538.38
TCGA-55-A490,5563.2
TCGA-49-AARO,5567.6
TCGA-55-6987,5571.68
TCGA-97-7554,5600.8
TCGA-05-4397,5643.95
TCGA-95-7567,5702.39
TCGA-97-8171,5707.63
TCGA-73-4677,5723.74
TCGA-86-6562,5756.4
TCGA-38-4625,5773.87
TCGA-49-AAR3,5893.73
TCGA-NJ-A4YP,5922.26
TCGA-05-4398,5964.11
TCGA-78-7535,5973.29
TCGA-55-8508,5989.39
TCGA-05-4405,6067.71
TCGA-73-4668,6119.31
TCGA-73-4658,6219.79
TCGA-44-2668,6237.33
TCGA-MN-A4N5,6301.97
TCGA-50-5935,6396.94
TCGA-NJ-A4YQ,6560.58
TCGA-05-4430,6684.53
TCGA-86-8359,6799.51
TCGA-69-7765,6809.61
TCGA-55-8301,6990.54
TCGA-49-6761,6999.82
TCGA-MP-A4TI,7008.12
TCGA-49-4488,7031.37
TCGA-50-5932,7081.05
TCGA-73-4662,7496.22
TCGA-55-8506,7980.29

