Patient,Expression
TCGA-85-A4JC,5153.51
TCGA-66-2767,5156.7
TCGA-63-A5MT,5157.16
TCGA-56-8309,5171.66
TCGA-56-A5DR,5201.15
TCGA-66-2769,5201.66
TCGA-22-4596,5214.72
TCGA-63-A5MN,5214.77
TCGA-39-5024,5229.61
TCGA-22-5477,5236.03
TCGA-77-8154,5245.69
TCGA-43-A475,5259.93
TCGA-60-2725,5277.58
TCGA-66-2759,5281.03
TCGA-34-5239,5285.52
TCGA-94-8490,5293.09
TCGA-85-8049,5304.21
TCGA-58-8393,5356.21
TCGA-33-4586,5371.04
TCGA-77-7338,5383.37
TCGA-22-5474,5408.42
TCGA-85-A50M,5429.76
TCGA-56-5897,5436.8
TCGA-66-2780,5446.23
TCGA-77-A5GB,5448.55
TCGA-39-5022,5474.41
TCGA-21-1081,5486.82
TCGA-56-8503,5503.87
TCGA-34-2600,5507.56
TCGA-60-2721,5544
TCGA-21-1070,5568.4
TCGA-85-8479,5572.77
TCGA-18-3410,5575.86
TCGA-18-3409,5600
TCGA-58-8390,5649.71
TCGA-22-1005,5663.62
TCGA-XC-AA0X,5726.74
TCGA-34-5928,5734.65
TCGA-22-5489,5837.86
TCGA-52-7810,5929.84
TCGA-60-2712,5944.44
TCGA-90-A4EE,5974.22
TCGA-77-A5G8,5995.52
TCGA-33-4566,6029.35
TCGA-90-7767,6030.89
TCGA-90-A4ED,6034.86
TCGA-90-6837,6087.24
TCGA-85-8048,6115.41
TCGA-NC-A5HP,6152.68
TCGA-22-1011,6163.09
TCGA-39-5030,6259.45
TCGA-21-5784,6308.97
TCGA-68-8251,6332.78
TCGA-94-8491,6344.12
TCGA-43-8116,6423.89
TCGA-77-7465,6492.82
TCGA-43-2581,6510.44
TCGA-77-A5GH,6550.85
TCGA-18-5592,6741.67
TCGA-18-3417,6761.8
TCGA-77-8130,6764.67
TCGA-43-6647,6790.6
TCGA-77-8008,6916.4
TCGA-37-A5EM,7065.72
TCGA-98-A53D,7075.66
TCGA-98-8023,7222.78
TCGA-34-A5IX,7289.98
TCGA-22-5471,7585.1
TCGA-60-2720,7761.46
TCGA-56-8307,8879.44
TCGA-96-A4JL,9155.87
